,Season_ID,Season,League,Player_ID,Players,Points,Clubs,Position,Start,Goals,A,CS,CS.part,Yellow,Red,Sub,CO,Off,Pen.SV,Pen.M,Goals.conceded,Conceded.1.,OG
9951,07/08-PL,2007/2008,Premier League,07/08-Djimi Traore,Djimi Traore,3,PFC,Defender,1,0,0,0,0,0,0,4,2,0,-,0,4,1,0
9952,07/08-PL,2007/2008,Premier League,07/08-Lucien Aubey,Lucien Aubey,3,PFC,Defender,1,0,0,0,1,0,0,6,2,0,-,0,5,3,0
9953,07/08-PL,2007/2008,Premier League,07/08-Jack Hobbs,Jack Hobbs,3,LPOOL,Defender,1,0,0,0,1,0,0,1,1,0,-,0,3,2,0
9954,07/08-PL,2007/2008,Premier League,07/08-Lamine Diatta,Lamine Diatta,3,NEWU,Defender,0,0,0,0,1,0,0,2,2,0,-,0,2,1,0
9955,07/08-PL,2007/2008,Premier League,07/08-Philippe Christanval,Philippe Christanval,3,FFC,Defender,0,0,0,0,1,0,0,1,1,0,-,0,0,0,0
9956,07/08-PL,2007/2008,Premier League,07/08-Jonathan Macken,Jonathan Macken,3,DCFC,Forward,0,0,0,-,-,0,0,4,3,0,-,0,-,-,0
9957,07/08-PL,2007/2008,Premier League,07/08-Jack Collison,Jack Collison,3,WESTHAM,Midfielder,1,0,0,-,-,0,0,2,1,1,-,0,-,-,0
9958,07/08-PL,2007/2008,Premier League,07/08-Colin Doyle,Colin Doyle,2,BFC,Goalkeeper,3,0,0,0,0,1,0,24,0,0,0,0,6,3,0
9959,07/08-PL,2007/2008,Premier League,07/08-Danny Mills,Danny Mills,2,DCFC,Defender,2,0,0,0,0,0,0,0,0,1,-,0,4,2,0
9960,07/08-PL,2007/2008,Premier League,07/08-Collins John,Collins John,2,FFC,Forward,0,0,0,-,-,0,0,2,2,0,-,0,-,-,0
9961,07/08-PL,2007/2008,Premier League,07/08-Martin Olsson,Martin Olsson,2,BRFC,Defender,0,0,0,0,0,0,0,4,2,0,-,0,2,0,0
9962,07/08-PL,2007/2008,Premier League,07/08-Glen Little,Glen Little,2,RFC,Midfielder,0,0,0,-,-,0,0,2,2,0,-,0,-,-,0
9963,07/08-PL,2007/2008,Premier League,07/08-Michael Johnson,Michael Johnson,2,DCFC,Defender,1,0,0,0,0,0,0,2,2,1,-,0,5,2,0
9964,07/08-PL,2007/2008,Premier League,07/08-Ricardo Vaz Te,Ricardo Vaz Te,2,BWFC,Forward,1,0,0,-,-,0,0,0,0,1,-,0,-,-,0
9965,07/08-PL,2007/2008,Premier League,07/08-Nathan Ashton,Nathan Ashton,2,FFC,Defender,1,0,0,0,0,0,0,1,0,0,-,0,1,0,0
9966,07/08-PL,2007/2008,Premier League,07/08-Maceo Rigters,Maceo Rigters,2,BRFC,Midfielder,0,0,0,-,-,0,0,2,2,0,-,0,-,-,0
9967,07/08-PL,2007/2008,Premier League,07/08-Stuart Taylor,Stuart Taylor,2,AVILLA,Goalkeeper,3,0,0,0,0,0,0,35,1,0,0,0,9,5,0
9968,07/08-PL,2007/2008,Premier League,07/08-Chris Gunter,Chris Gunter,2,SPURS,Defender,1,0,0,0,1,0,0,3,1,1,-,0,4,3,0
9969,07/08-PL,2007/2008,Premier League,07/08-Neil Danns,Neil Danns,2,BFC,Midfielder,0,0,0,-,-,0,0,5,2,0,-,0,-,-,0
9970,07/08-PL,2007/2008,Premier League,07/08-Kazenga LuaLua,Kazenga LuaLua,2,NEWU,Forward,0,0,0,-,-,0,0,4,2,0,-,0,-,-,0
9971,07/08-PL,2007/2008,Premier League,07/08-Marton Fulop,Marton Fulop,2,SUND,Goalkeeper,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0
9972,07/08-PL,2007/2008,Premier League,07/08-Jack Rodwell,Jack Rodwell,2,EVER,Midfielder,0,0,0,-,-,0,0,5,2,0,-,0,-,-,0
9973,07/08-PL,2007/2008,Premier League,07/08-Ledley King,Ledley King,1,SPURS,Defender,4,0,0,0,0,0,0,0,0,3,-,0,11,7,0
9974,07/08-PL,2007/2008,Premier League,07/08-Bruno Berner,Bruno Berner,1,BRFC,Defender,2,0,0,0,0,1,0,5,0,0,-,0,4,2,0
9975,07/08-PL,2007/2008,Premier League,07/08-Scott Sinclair,Scott Sinclair,1,CHEL,Forward,0,0,0,-,-,0,0,3,1,0,-,0,-,-,0
9976,07/08-PL,2007/2008,Premier League,07/08-Kyel Reid,Kyel Reid,1,WESTHAM,Midfielder,0,0,0,-,-,0,0,3,1,0,-,0,-,-,0
9977,07/08-PL,2007/2008,Premier League,07/08-Andreas Isaksson,Andreas Isaksson,1,MCFC,Goalkeeper,5,0,0,0,0,0,0,21,0,0,0,0,14,9,0
9978,07/08-PL,2007/2008,Premier League,07/08-Benoit Assou-Ekotto,Benoit Assou-Ekotto,1,SPURS,Defender,1,0,0,0,0,1,0,0,0,0,-,0,1,0,0
9979,07/08-PL,2007/2008,Premier League,07/08-Fraizer Campbell,Fraizer Campbell,1,MUFC,Forward,0,0,0,-,-,0,0,1,1,0,-,0,-,-,0
9980,07/08-PL,2007/2008,Premier League,07/08-Paris Simmons,Paris Simmons,1,DCFC,Forward,0,0,0,-,-,0,0,1,1,0,-,0,-,-,0
9981,07/08-PL,2007/2008,Premier League,07/08-Erik Hagen,Erik Hagen,1,WAFC,Defender,1,0,0,0,0,0,0,1,0,1,-,0,2,1,0
9982,07/08-PL,2007/2008,Premier League,07/08-Richard Kingson,Richard Kingson,1,BFC,Goalkeeper,1,0,0,0,0,0,0,10,0,0,0,0,2,1,0
9983,07/08-PL,2007/2008,Premier League,07/08-Mark Randall,Mark Randall,1,ARSL,Midfielder,0,0,0,-,-,0,0,1,1,0,-,0,-,-,0
9984,07/08-PL,2007/2008,Premier League,07/08-Seb Hines,Seb Hines,1,MFC,Defender,0,0,0,0,0,0,0,10,1,0,-,0,1,0,0
9985,07/08-PL,2007/2008,Premier League,07/08-Franck Songo'o,Franck Songo'o,1,PFC,Midfielder,0,0,0,-,-,0,0,2,1,0,-,0,-,-,0
9986,07/08-PL,2007/2008,Premier League,07/08-Anthony McMahon,Anthony McMahon,1,MFC,Defender,0,0,0,0,0,0,0,3,1,0,-,0,1,0,0
9987,07/08-PL,2007/2008,Premier League,07/08-Mike Pollitt,Mike Pollitt,1,WAFC,Goalkeeper,1,0,0,0,0,0,0,37,0,0,0,0,2,1,0
9988,07/08-PL,2007/2008,Premier League,07/08-FangZhou Dong,FangZhou Dong,0,MUFC,Forward,0,0,0,-,-,0,0,1,0,0,-,0,-,-,0
9989,07/08-PL,2007/2008,Premier League,07/08-Scott Golbourne,Scott Golbourne,0,RFC,Defender,1,0,0,0,0,0,0,0,0,1,-,0,3,2,0
9990,07/08-PL,2007/2008,Premier League,07/08-Graham Kavanagh,Graham Kavanagh,0,SUND,Midfielder,0,0,0,-,-,0,0,2,0,0,-,0,-,-,0
9991,07/08-PL,2007/2008,Premier League,07/08-Rhys Taylor,Rhys Taylor,0,CHEL,Goalkeeper,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
9992,07/08-PL,2007/2008,Premier League,07/08-Troy Archibald-Henville,Troy Archibald-Henville,0,SPURS,Defender,0,0,0,0,0,0,0,2,0,0,-,0,0,0,0
9993,07/08-PL,2007/2008,Premier League,07/08-Richard Duffy,Richard Duffy,0,PFC,Defender,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0
9994,07/08-PL,2007/2008,Premier League,07/08-Peter Enckelman,Peter Enckelman,0,BRFC,Goalkeeper,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9995,07/08-PL,2007/2008,Premier League,07/08-Rowan Vine,Rowan Vine,0,BFC,Forward,0,0,0,-,-,0,0,2,0,0,-,0,-,-,0
9996,07/08-PL,2007/2008,Premier League,07/08-Ben Hinchliffe,Ben Hinchliffe,0,DCFC,Goalkeeper,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
9997,07/08-PL,2007/2008,Premier League,07/08-Richard Wright,Richard Wright,0,WESTHAM,Goalkeeper,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
9998,07/08-PL,2007/2008,Premier League,07/08-Darron Gibson,Darron Gibson,0,MUFC,Midfielder,0,0,0,-,-,0,0,1,0,0,-,0,-,-,0
9999,07/08-PL,2007/2008,Premier League,07/08-Brad Jones,Brad Jones,0,MFC,Goalkeeper,1,0,0,0,0,0,0,9,0,0,0,0,3,2,0
10000,07/08-PL,2007/2008,Premier League,07/08-Alex Pearce,Alex Pearce,0,RFC,Defender,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0
10001,07/08-PL,2007/2008,Premier League,07/08-Anderson De Silva,Anderson De Silva,0,EVER,Midfielder,0,0,0,-,-,0,0,1,0,0,-,0,-,-,0
